Cell_ID,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
Cerebellum Purkinje cell adexp,-0.04226108653793355,0.6256825898572003,-0.6443561099481242,-0.15986204204159035,0.4278582896965304,-2.4469919383986087,-5.64789083798499,-0.862787016735821,-0.9225154080870748,0.0,0.0,0.008499303450048908,-0.7603206202476837,-0.9535011113484959,-0.7611134806409894,-2.688467952885621,-5.263293069451529,-0.38122237850865764,-0.716530233903527,-0.05353490891506066,-0.06332102210917584,-0.17934890450475507,-1.9765414771431098,-0.7672028914621227,-1.4659722940284752,2.482068790274933,0.4352016419485004,-0.7122609263867743,-0.9357265649646395,-0.071907098515791,-0.1260408172990721,-0.38818921063818296,-0.08131595345193858,-0.9738263126656939,-0.1524703874418638,-1.3121838184054095,-2.999728158019976,6.8743159545095756
Cerebellum Purkinje cell fe_izhi,-0.04226108653793355,0.6256825898572003,-0.6443561099481242,-0.15986204204159035,0.4278582896965304,-2.4491295886324576,-5.644434159619984,0.1985202707812786,-0.25007202437425363,0.0,0.0,-25.87391824311508,-0.7603206202476837,-0.42424673825689857,-0.7611134806409894,-2.697141459497844,-5.263293069451529,0.1220433974666188,-0.7773147545196707,-0.05353490891506066,-0.06332102210917584,0.22149276953769814,-1.9765414771431098,-0.7672028914621227,1.5608624756235885,-0.12772347012196866,0.4352016419485004,1.2609265881486635,-0.969391370647207,-0.071907098515791,-0.1260408172990721,-0.38818921063818296,-0.10050432760148459,-0.9916699000885711,-3.0624147896550222,-1.312054065553784,-2.999728158019976,-0.7667134307449686
Neocortex pyramidal cell layer 5-6 adexp,-0.04226108653793355,0.6256825898572003,-0.6443561099481242,-0.15986204204159035,0.4278582896965304,-2.4377967432658068,-5.64789083798499,-0.7731874145815819,-0.8586707953443443,0.0,0.0,-0.08734523826395642,-0.7603206202476837,-0.9535011113484959,-0.7611134806409894,-2.678504336594233,-5.263293069451529,-0.3700436629161384,-0.6817962221228728,-0.05353490891506066,-0.06332102210917584,-0.6398123378441406,-1.9765414771431098,-0.7672028914621227,1.5608624720767121,-0.12771857581807297,0.4352016419485004,-0.7122609263867743,-0.902061759282072,-0.071907098515791,-0.1260408172990721,-0.38818921063818296,-0.10050432760148459,-0.9559827252428164,0.05538278414479038,-1.3121838184052477,-2.999728158019976,6.715728552174103
Neocortex pyramidal cell layer 5-6 fe_izhi,-0.04147947070332587,0.6305643735591729,-0.6443606359728831,-0.15986204204159035,0.5435866270367817,-2.4473631313065503,-5.642518478638635,-0.19392598665434518,-0.11950979131537247,0.0,0.0,0.09191879119429189,-0.7603322882824893,-0.552984288468368,1.0598020820665432,-2.6888312797569665,-5.258126790588874,-0.18073211435680037,0.21790151802552335,-0.05353490891506066,-0.06332102210917584,0.2214200247748491,-1.1230142602938138,0.9020479080995445,1.5203708158929443,-0.12771660758919473,0.4352016419485004,-0.03810535591397077,0.4617836809329438,-0.071907098515791,-0.1260408172990721,-0.3709687228508032,0.8770084705010345,-0.22796435838941692,0.22997944827757982,-1.3120259944606936,1.0713967183268955,-0.08911271167522576
Hippocampus CA1 basket cell fe_izhi,-0.022597323518459236,0.6216324165142506,-0.6443523486631665,-0.02846702623240019,4.594600425508283,-2.4504876584391906,-5.6425095121622135,-0.06355856551990748,-0.3140762486488444,0.0,0.0,0.09192952936413369,-0.7603167393373382,0.05494303197468216,4.6207845564973855,-2.6916779542883513,-5.258120029333112,-0.1994564629742706,0.3030432644028524,-0.05353490891506066,-0.06332102210917584,0.22146127050174713,0.18775967986760408,2.525269083017997,1.560862474699654,-0.12734023630644012,0.4352016419485004,-0.39598542508047935,0.6796791357133629,-0.071907098515791,-0.1260408172990721,-0.44882727474145895,0.14448673669341744,-0.13896946611781436,1.0530780077607302,-1.3121214187263335,1.0713967183268955,-0.060278638523321826
Olfactory bulb (main) mitral cell adexp,-0.04226108653793355,0.6256825898572003,-0.6443561099481242,-0.15986204204159035,0.4278582896965304,-2.4377967432658068,-5.64789083798499,-0.7731874145815819,-0.8586707953443443,0.0,0.0,-0.08734523826395642,-0.7603206202476837,-0.9535011113484959,-0.7611134806409894,-2.678504336594233,-5.263293069451529,-0.3700436629161384,-0.6904797250680353,-0.05353490891506066,-0.06332102210917584,-0.6398123378441406,-1.9765414771431098,-0.7672028914621227,0.7030786338677563,-0.1277211568888238,0.4352016419485004,-0.7122609263867743,-0.9188941621233556,-0.071907098515791,-0.1260408172990721,-0.38818921063827966,-0.01232783151302022,-0.9559827252428164,0.09695341846212124,-1.3121837023928316,-2.999728158019976,6.715728552174103
Olfactory bulb (main) mitral cell fe_izhi,-0.011747677380596271,0.6325729727711371,-0.644362506295037,0.5932557314988942,-1.8443646375411693,-2.4490487767951477,-5.642511667427388,-0.1952699806866472,-0.3691422271394465,0.0,0.0,0.09191590112408109,-0.7603245133504065,0.8059120748749222,0.6213256145665706,-2.6895138449317804,-5.258119822260415,-0.18196177307197653,0.013795781299455452,-0.05353490891506066,-0.06332102210917584,0.22143403163878658,1.925297228453674,1.228993624315391,1.096247616036643,-0.12772280713772285,0.4352016419485004,-0.31649242551843826,0.2972890241664978,-0.071907098515791,-0.1260408172990721,-0.14767570925528137,-0.014156460595360012,-0.26730946865686045,1.0530780077607302,-1.3121179984232785,1.0713967183268955,0.18481098326786163
NMLCL000073,-0.03590703714047133,0.7561369877457277,-0.76900850645721,-0.15986204204159685,0.5284022630904095,-0.4778419997775805,-0.1109667456562905,-0.40224506166299,-0.32716439426111044,0.0,0.0,0.048249896444716736,0.31040322008682203,-0.22398832681683498,-0.32555047804134635,-0.4728819808850259,0.0881618010909698,-0.27200632716973044,-0.4606274021095561,-0.05353490891506066,-0.06332102210917584,0.008717959246489338,-0.4219026178818927,-0.363766769589144,-1.3696238946108372,-0.12768716277743583,-0.2811783725432008,-0.5409955208262738,-0.7033552437407171,-0.071907098515791,-0.1260408172990721,0.2059008273791396,-0.09213266083841719,0.05793452109363779,0.22997944827757982,-1.2169864760825506,0.2571717430575214,-0.5792919552575929
NMLCL000087,-0.03476812745450563,-0.37809166918954773,0.47814148659864475,-0.15986204204159035,0.10301613433985737,1.2947992802524795,0.8321244018159022,-0.6074281505962071,-0.7064013939529256,0.0,0.0,0.044658076416429555,-0.01400033024259255,-0.32411753253686676,-0.24397346083205676,1.549138249950193,0.7150521422605928,-0.10343129603452218,-0.2794895306734457,-0.05353490891506066,-0.06332102210917584,0.004528125624094314,-0.6352844220942164,-0.27441514528169525,-0.9437217741274958,-0.12771872784110522,-0.6437471574042146,0.08686991880399357,1.6119417670778633,-0.071907098515791,3.0979506146666655,5.648667409368273,-0.09176279526536613,1.3382119186850951,-0.318752924711187,1.58224837791052,-0.2856449071220612,-0.8099645404728244
NMLCL000089,-0.03811748387833022,-0.3261797437134683,0.41440016707484667,0.2709913818908806,0.1423224383964501,1.3576143868484376,0.7974890327534365,-0.6011561784454059,-0.6993784865512316,0.0,0.0,0.04545306817656369,-0.029292547492029822,-0.33842170478258576,-0.23523306613105194,1.5370433496615574,0.6960547315970466,-0.10208985016341839,-0.27671080973099205,-0.05353490891506066,-0.06332102210917584,0.006967881274772583,-0.6352844220942164,-0.270353707813179,-0.9438787056098957,-0.12771872784110522,-0.642765587144114,0.0889703435891694,1.6125309011773092,-0.071907098515791,3.0979506146666655,5.63181385462008,-0.09176360484887594,1.3420482899810142,-0.318752924711187,1.5651435878718813,-0.2856449071220612,-0.8099645404728244
