Cell_ID,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
Cerebellum Purkinje cell adexp,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1616525356426304,-1.5278859700314038,-0.33750950389454354,-0.3934068099127221,-0.12059078332792827,-0.12059078332792827,-0.021662798459344778,-0.475033290418269,-0.2913181988818185,-0.5976503311488807,-1.1799065983813501,-1.5098056262774397,-0.3632144041119121,-0.49909124566095725,-0.1720165140865197,-0.17146165315955056,-0.28845545207295636,-0.2739962032589554,-0.5657807207906115,-1.653462513471507,0.43444396026949544,-0.021704656780121154,-0.4024219384256364,-0.6017106601871367,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.061836557852765595,-0.6977973692214348,0.005639763732286317,-0.873914849562155,-0.43749031808341293,7.0832947593620545
Cerebellum Purkinje cell fe_izhi,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1630668859146687,-1.526587029372893,-0.2626621900177716,-0.03522448142363289,-0.12059078332792827,-0.12059078332792827,-31.262925268366878,-0.475033290418269,-0.15529937531201776,-0.5976503311488807,-1.1852586828615468,-1.5098056262774397,-0.13755465505573988,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,0.3184200265084565,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8737886047780515,-0.43749031808341293,-0.5115900696331547
Neocortex pyramidal cell layer 5-6 adexp,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1555686466454538,-1.5278859700314038,-0.33119060867489286,-0.3593994680196214,-0.12059078332792827,-0.12059078332792827,-0.1373515465682948,-0.475033290418269,-0.2913181988818185,-0.5976503311488807,-1.1737584372622227,-1.5098056262774397,-0.3582019707699275,-0.47949212566426036,-0.1720165140865197,-0.17146165315955056,-0.8391401238514877,-0.2739962032589554,-0.5657807207906115,1.0825821250488739,-0.05761121102840593,-0.021704656780121154,-0.4024219384256364,-0.5799662986987998,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.6836067588587098,0.0427376601137416,-0.8739148495619976,-0.43749031808341293,6.925665074231965
Neocortex pyramidal cell layer 5-6 fe_izhi,-0.0332238351904225,-0.044053798062051674,-0.17039525864173685,-0.061381686279055526,0.4044308340761136,-1.1618981309144913,-1.5258671602810499,-0.29033895107984553,0.03432053274775653,-0.12059078332792827,-0.12059078332792827,0.07902834088397327,-0.475043702979974,-0.18838503509926655,0.5917122291716628,-1.1801307933000036,-1.5077414501557829,-0.2733164121234078,0.0281740800501817,-0.1720165140865197,-0.17146165315955056,0.19083842948203542,-0.1636310505474528,0.6358544892322587,1.045980530522799,-0.057610839934112805,-0.021704656780121154,-0.1561404155034254,0.30095214609744836,-0.15436027506944197,-0.1761449941738876,-0.08131952940879501,1.0947748478431325,-0.10462985605953218,0.07389989307416403,-0.8737612926300536,0.17055922960538505,0.16191858501359044
Hippocampus CA1 basket cell fe_izhi,-0.010419842813989439,-0.04405760958966105,-0.17039211266285678,-0.060396514545584694,3.410929191915793,-1.1639654362809473,-1.5258637908843178,-0.2811449585352524,-0.06931684167146814,-0.12059078332792827,-0.12059078332792827,0.07904130234639735,-0.47502982709140074,-0.03214719721503619,2.9176296521345115,-1.1818873657292128,-1.507738748709913,-0.2817122379712322,0.07621642294208524,-0.1720165140865197,-0.17146165315955056,0.19088775672049685,0.005858291116640406,1.8043545839747006,1.082582127419828,-0.05753987804717384,-0.021704656780121154,-0.2868806367790866,0.4416925258307095,-0.15436027506944197,-0.1761449941738876,-0.09124826908128066,0.2106869846253206,-0.03385418687544049,0.22080756274472693,-0.8738541369541899,0.17055922960538505,0.19057852776451575
Olfactory bulb (main) mitral cell adexp,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1555686466454538,-1.5278859700314038,-0.33119060867489286,-0.3593994680196214,-0.12059078332792827,-0.12059078332792827,-0.1373515465682948,-0.475033290418269,-0.2913181988818185,-0.5976503311488807,-1.1737584372622227,-1.5098056262774397,-0.3582019707699275,-0.484391905663434,-0.1720165140865197,-0.17146165315955056,-0.8391401238514877,-0.2739962032589554,-0.5657807207906115,0.30720617859078836,-0.05761169766928209,-0.021704656780121154,-0.4024219384256364,-0.5908384794429682,-0.15436027506944197,-0.1761449941738876,-0.08351553403671556,0.021425901808815533,-0.6836067588587098,0.050157239390032665,-0.8739147366861552,-0.43749031808341293,6.925665074231965
Olfactory bulb (main) mitral cell fe_izhi,0.0026832881696053734,-0.04405294093395376,-0.17039596864223114,-0.05573497024574706,-1.367809872253661,-1.1630134177456144,-1.525864600783669,-0.2904337345081395,-0.09864817405426589,-0.12059078332792827,-0.12059078332792827,0.07902485243696675,-0.4750367646256229,0.16085248487724876,0.30531372464647677,-1.180551977792294,-1.507738665974442,-0.27386777979102567,-0.08699524883040774,-0.1720165140865197,-0.17146165315955056,0.19085518079106792,0.23053020913648542,0.8712112639447651,0.6626031423569678,-0.0576120088109158,-0.021704656780121154,-0.2578403709246284,0.19470375977506188,-0.15436027506944197,-0.1761449941738876,-0.052844581585615544,0.01921891093958854,-0.1359201519093397,0.22080756274472693,-0.8738508091242786,0.17055922960538505,0.4341880411473809
NMLCL000073,-0.026494000323582796,-0.04400021255066308,-0.21771333669114393,-0.061381686279055575,0.3931616141868026,0.14121156591748038,0.5527634474629045,-0.3050303824655361,-0.07628834675955709,-0.12059078332792827,-0.12059078332792827,0.026317986444022688,0.48048134783298596,-0.10383279342074188,-0.31315480672020585,0.18724556111250418,0.6283571894672364,-0.3142429303607165,-0.3546947290852922,-0.1720165140865197,-0.17146165315955056,-0.06353957029230992,-0.07297396082014714,-0.27536118097972784,-1.5663703720012752,-0.05760528834317398,-0.03948148641367928,-0.33985551199123265,-0.4516202050138912,-0.15436027506944197,-0.1761449941738876,-0.007755515564037353,-0.07489135101317675,0.12273919847722894,0.07389989307416403,-0.7812913135225956,0.04894932006762547,-0.32530044175214007
NMLCL000087,-0.025118537695210587,-0.044484221130138696,0.25572227421369403,-0.061381686279055526,0.07745725938582239,1.31405810411053,0.9071555275982823,-0.3195006525185368,-0.27829195760457287,-0.12059078332792827,-0.12059078332792827,0.021982495292683837,0.19098341254502724,-0.1295660843663798,-0.25987136401785066,1.4349558102573248,0.8788299393014325,-0.2386554355635811,-0.2524853183025185,-0.1720165140865197,-0.17146165315955056,-0.06855034201944221,-0.10056524899802276,-0.21104007484710843,-1.181384965354069,-0.05761123969116986,-0.04847855973864303,-0.11048463168549189,1.0438482563464788,-0.15436027506944197,2.206006355606306,0.6863212580005146,-0.07444495652538886,1.1409154920027444,-0.024038553372877875,1.9422619292002354,-0.03212395295754756,-0.5545799837595426
NMLCL000089,-0.02916355956730297,-0.04446206879149526,0.23152517625702648,-0.05815123943209295,0.10662880618318996,1.3556189552242124,0.8941403481840724,-0.31905832985316096,-0.27455114999633523,-0.12059078332792827,-0.12059078332792827,0.022942086729421947,0.17733662811498155,-0.1332422687871853,-0.2541624237283064,1.427492516457202,0.8712395628414124,-0.23805394356254228,-0.250917388702782,-0.1720165140865197,-0.17146165315955056,-0.06563255106703161,-0.10056524899802276,-0.20811638820471964,-1.1815268203194749,-0.05761123969116986,-0.04845420226504774,-0.1097173075877115,1.0442287826725254,-0.15436027506944197,2.206006355606306,0.6841720456970826,-0.07444593361988619,1.1439664732307306,-0.024038553372877875,1.9256195934171647,-0.03212395295754756,-0.5545799837595426
